iter	Passed	Remaining
0	20	12050
1	36	10882
2	52	10391
3	67	10058
4	83	9895
5	99	9863
6	115	9749
7	129	9610
8	145	9534
9	161	9548
10	177	9482
11	192	9425
12	207	9350
13	224	9380
14	239	9336
15	254	9282
16	269	9245
17	284	9201
18	300	9175
19	314	9128
20	330	9105
21	345	9072
22	361	9070
23	376	9041
24	392	9029
25	408	9016
26	423	8997
27	438	8963
28	454	8947
29	469	8922
30	485	8904
31	500	8881
32	515	8853
33	530	8832
34	547	8839
35	563	8820
36	577	8792
37	593	8774
38	608	8756
39	623	8731
40	638	8707
41	653	8688
42	669	8666
43	684	8655
44	700	8639
45	715	8615
46	730	8598
47	746	8588
48	762	8569
49	776	8546
50	793	8537
51	810	8544
52	827	8536
53	844	8540
54	863	8551
55	880	8552
56	897	8548
57	914	8546
58	933	8561
59	950	8556
60	967	8547
61	983	8532
62	999	8521
63	1015	8502
64	1030	8484
65	1048	8484
66	1064	8468
67	1080	8450
68	1095	8433
69	1112	8421
70	1127	8402
71	1142	8380
72	1158	8359
73	1173	8341
74	1189	8328
75	1205	8309
76	1220	8290
77	1235	8269
78	1251	8250
79	1266	8233
80	1282	8216
81	1298	8203
82	1314	8188
83	1330	8171
84	1346	8156
85	1361	8138
86	1377	8124
87	1394	8113
88	1410	8100
89	1428	8092
90	1445	8083
91	1461	8069
92	1477	8057
93	1495	8051
94	1512	8040
95	1529	8029
96	1545	8012
97	1562	8001
98	1578	7988
99	1593	7966
100	1608	7945
101	1625	7934
102	1640	7916
103	1655	7895
104	1672	7882
105	1688	7867
106	1705	7856
107	1721	7842
108	1737	7828
109	1754	7814
110	1770	7798
111	1785	7778
112	1800	7758
113	1817	7750
114	1833	7733
115	1848	7713
116	1863	7693
117	1879	7678
118	1896	7664
119	1911	7645
120	1927	7632
121	1943	7615
122	1959	7599
123	1975	7582
124	1989	7561
125	2005	7544
126	2021	7527
127	2036	7508
128	2051	7489
129	2067	7473
130	2083	7458
131	2100	7446
132	2114	7425
133	2130	7407
134	2147	7395
135	2162	7378
136	2178	7361
137	2193	7342
138	2208	7325
139	2224	7308
140	2239	7290
141	2255	7274
142	2271	7258
143	2286	7239
144	2301	7220
145	2316	7204
146	2332	7187
147	2348	7171
148	2363	7153
149	2378	7135
150	2395	7122
151	2410	7104
152	2426	7088
153	2441	7070
154	2457	7055
155	2472	7038
156	2487	7020
157	2503	7004
158	2521	6994
159	2536	6976
160	2552	6959
161	2568	6944
162	2584	6930
163	2600	6913
164	2615	6895
165	2630	6878
166	2646	6862
167	2662	6845
168	2677	6827
169	2693	6811
170	2708	6794
171	2723	6776
172	2739	6760
173	2754	6743
174	2770	6727
175	2785	6709
176	2800	6691
177	2815	6674
178	2830	6658
179	2846	6642
180	2861	6625
181	2877	6607
182	2893	6593
183	2908	6576
184	2924	6559
185	2940	6544
186	2956	6529
187	2971	6512
188	2987	6496
189	3002	6479
190	3018	6463
191	3035	6450
192	3051	6434
193	3066	6417
194	3081	6399
195	3096	6383
196	3112	6366
197	3127	6349
198	3142	6332
199	3160	6320
200	3175	6303
201	3190	6286
202	3205	6269
203	3222	6255
204	3238	6239
205	3253	6222
206	3268	6205
207	3284	6190
208	3299	6173
209	3315	6156
210	3330	6139
211	3346	6124
212	3361	6108
213	3377	6091
214	3392	6075
215	3408	6059
216	3423	6042
217	3438	6025
218	3453	6008
219	3470	5993
220	3485	5977
221	3501	5962
222	3516	5945
223	3532	5929
224	3548	5913
225	3563	5896
226	3578	5880
227	3593	5863
228	3609	5847
229	3624	5831
230	3640	5815
231	3656	5800
232	3671	5783
233	3687	5767
234	3703	5751
235	3718	5735
236	3735	5721
237	3750	5704
238	3765	5688
239	3781	5672
240	3797	5657
241	3813	5641
242	3829	5625
243	3844	5609
244	3860	5594
245	3877	5579
246	3892	5563
247	3908	5548
248	3925	5533
249	3941	5518
250	3957	5502
251	3973	5487
252	3989	5471
253	4004	5455
254	4021	5441
255	4038	5426
256	4054	5411
257	4071	5396
258	4087	5381
259	4103	5366
260	4120	5351
261	4136	5335
262	4151	5319
263	4169	5306
264	4185	5290
265	4200	5274
266	4216	5258
267	4231	5242
268	4247	5226
269	4262	5209
270	4277	5193
271	4293	5177
272	4309	5161
273	4324	5145
274	4340	5129
275	4355	5113
276	4370	5096
277	4386	5081
278	4401	5064
279	4417	5048
280	4433	5032
281	4448	5016
282	4464	5000
283	4480	4984
284	4496	4969
285	4511	4952
286	4526	4936
287	4542	4920
288	4558	4905
289	4574	4889
290	4589	4872
291	4604	4857
292	4622	4843
293	4637	4826
294	4652	4810
295	4668	4794
296	4683	4778
297	4698	4761
298	4713	4745
299	4729	4729
300	4744	4713
301	4759	4696
302	4775	4681
303	4792	4665
304	4808	4650
305	4824	4635
306	4840	4619
307	4856	4604
308	4874	4590
309	4890	4574
310	4904	4557
311	4920	4541
312	4936	4526
313	4951	4510
314	4966	4493
315	4981	4477
316	4997	4461
317	5013	4446
318	5029	4429
319	5044	4413
320	5059	4397
321	5075	4382
322	5090	4365
323	5105	4349
324	5121	4333
325	5137	4318
326	5153	4302
327	5168	4286
328	5185	4271
329	5201	4255
330	5216	4239
331	5231	4222
332	5247	4207
333	5263	4191
334	5278	4175
335	5293	4159
336	5312	4145
337	5327	4129
338	5343	4113
339	5359	4098
340	5375	4083
341	5391	4067
342	5407	4051
343	5424	4037
344	5441	4021
345	5456	4005
346	5471	3989
347	5486	3973
348	5503	3958
349	5520	3942
350	5536	3927
351	5551	3911
352	5568	3896
353	5584	3880
354	5600	3864
355	5615	3849
356	5631	3832
357	5645	3816
358	5661	3800
359	5676	3784
360	5691	3767
361	5706	3751
362	5721	3735
363	5735	3718
364	5751	3702
365	5767	3687
366	5782	3670
367	5797	3654
368	5812	3638
369	5829	3623
370	5844	3607
371	5859	3591
372	5875	3575
373	5891	3559
374	5906	3543
375	5921	3527
376	5936	3511
377	5952	3496
378	5969	3480
379	5984	3464
380	5999	3448
381	6015	3433
382	6031	3417
383	6045	3400
384	6061	3384
385	6077	3369
386	6093	3353
387	6108	3337
388	6123	3321
389	6138	3305
390	6154	3289
391	6170	3274
392	6185	3258
393	6201	3242
394	6216	3226
395	6231	3210
396	6246	3194
397	6262	3178
398	6278	3162
399	6293	3146
400	6309	3131
401	6325	3115
402	6340	3099
403	6356	3083
404	6371	3067
405	6388	3052
406	6403	3036
407	6418	3020
408	6434	3005
409	6450	2989
410	6465	2973
411	6480	2957
412	6495	2941
413	6511	2925
414	6528	2910
415	6543	2894
416	6559	2878
417	6574	2862
418	6591	2847
419	6606	2831
420	6622	2815
421	6637	2799
422	6653	2784
423	6668	2768
424	6684	2752
