iter	Passed	Remaining
0	124	124821
1	125	62861
2	127	42272
3	128	32043
4	130	25952
5	132	21872
6	132	18819
7	133	16557
8	134	14841
9	136	13473
10	137	12349
11	138	11399
12	139	10603
13	140	9901
14	141	9290
15	142	8737
16	142	8249
17	143	7825
18	144	7459
19	145	7139
20	146	6835
21	147	6546
22	147	6276
23	148	6026
24	148	5797
25	149	5586
26	149	5389
27	150	5207
28	150	5037
29	150	4879
30	151	4732
31	151	4593
32	152	4466
33	153	4347
34	153	4233
35	154	4125
36	154	4024
37	155	3927
38	155	3836
39	156	3750
40	156	3668
41	157	3588
42	157	3512
43	158	3438
44	158	3368
45	159	3301
46	159	3238
47	160	3178
48	160	3121
49	161	3065
50	161	3011
51	162	2958
52	162	2909
53	163	2860
54	163	2814
55	164	2769
56	164	2725
57	165	2683
58	165	2643
59	166	2603
60	166	2568
61	167	2533
62	168	2500
63	168	2471
64	169	2439
65	170	2407
66	170	2377
67	171	2349
68	172	2321
69	172	2293
70	173	2265
71	173	2237
72	174	2210
73	174	2186
74	175	2163
75	175	2139
76	176	2115
77	176	2092
78	177	2069
79	178	2047
80	178	2024
81	178	2003
82	179	1979
83	179	1958
84	180	1938
85	180	1919
86	181	1900
87	181	1881
88	182	1863
89	182	1845
90	183	1828
91	183	1811
92	183	1793
93	184	1777
94	184	1761
95	185	1745
96	185	1729
97	186	1714
98	186	1699
99	187	1684
100	187	1669
101	188	1655
102	188	1641
103	188	1628
104	189	1614
105	189	1602
106	190	1589
107	191	1579
108	191	1567
109	192	1556
110	192	1544
111	193	1533
112	193	1521
113	194	1510
114	194	1500
115	195	1490
116	196	1479
117	196	1468
118	196	1458
119	197	1447
120	197	1438
121	198	1428
122	199	1419
123	199	1410
124	200	1401
125	200	1392
126	201	1383
127	201	1374
128	202	1366
129	202	1357
130	203	1349
131	203	1340
132	204	1332
133	205	1325
134	205	1318
135	206	1311
136	206	1302
137	207	1294
138	207	1287
139	208	1280
140	208	1272
141	209	1264
142	209	1257
143	210	1249
144	210	1242
145	211	1235
146	211	1228
147	212	1222
148	212	1216
149	213	1209
150	214	1203
151	214	1197
152	215	1190
153	215	1184
154	216	1178
155	216	1172
156	217	1166
157	217	1160
158	218	1154
159	218	1149
160	219	1142
161	219	1136
162	220	1131
163	221	1127
164	221	1122
165	222	1117
166	223	1112
167	223	1106
168	224	1102
169	224	1097
170	225	1092
171	225	1087
172	226	1082
173	226	1077
174	227	1072
175	228	1068
176	228	1063
177	229	1058
178	229	1053
179	230	1048
180	230	1044
181	231	1039
182	231	1035
183	232	1030
184	232	1025
185	233	1021
186	233	1016
187	234	1012
188	234	1007
189	235	1003
190	236	999
191	236	996
192	237	991
193	237	987
194	238	984
195	239	980
196	239	976
197	240	972
198	240	968
199	241	964
200	241	960
201	242	956
202	242	952
203	243	949
204	243	945
205	244	941
206	244	937
207	245	934
208	245	930
209	246	927
210	247	924
211	247	920
212	248	917
213	248	914
214	249	911
215	250	907
216	250	904
217	251	901
218	251	898
219	252	894
220	252	891
221	253	887
222	253	884
223	254	881
224	254	877
225	255	874
226	255	871
227	256	868
228	257	865
229	257	862
230	258	859
231	258	857
232	266	876
233	267	874
234	267	871
235	268	867
236	268	864
237	269	861
238	269	858
239	270	855
240	270	852
241	271	849
242	271	846
243	272	843
244	272	839
245	273	836
246	273	833
247	274	831
248	274	828
249	275	826
250	275	823
251	276	820
252	276	817
253	277	814
254	277	811
255	278	809
256	278	806
257	279	803
258	280	801
259	280	798
260	280	795
261	281	792
262	281	790
263	282	787
264	283	785
265	283	782
266	284	780
267	284	777
268	285	775
269	285	772
270	286	770
271	286	767
272	287	765
273	287	762
274	288	760
275	289	758
276	289	756
277	290	754
278	290	751
279	291	749
280	291	746
281	292	744
282	292	741
283	293	739
284	293	736
285	294	734
286	294	731
287	295	729
288	295	727
289	296	724
290	296	722
291	297	720
292	297	718
293	298	716
294	298	713
295	299	711
296	299	709
297	300	707
298	300	705
299	301	702
300	301	700
301	302	698
302	302	696
303	303	694
304	303	692
305	304	690
306	304	687
307	305	685
308	305	683
309	306	681
310	306	679
311	307	677
312	307	675
313	307	672
314	308	670
315	308	668
316	309	666
317	309	664
318	310	662
319	310	660
320	311	658
321	311	656
322	312	654
323	312	652
324	313	650
325	313	648
326	313	646
327	314	644
